cost_component|var_pop|closest_relative_type|agegroup|act_cost|act_py|att_cost|att_py|act_cost_py|att_cost_py
secondary_sector|bd_13#prev_2021|father|0-24|48571345.093|4194|2087088.1671|4194|11581.150475|497.63666359
secondary_sector|bd_13#prev_2021|mother|0-24|60052768.307|4420|-1567679.985|4420|13586.599164|-354.6787297
secondary_sector|bd_13#prev_2021|relative|25-64|153301418.4|8683|13949288.086|8683|17655.351652|1606.5055956
secondary_sector|bd_13#prev_2021|relative|65+|81197535.966|3445|4160731.6624|3445|23569.676623|1207.7595537
secondary_sector|bd_14#inc_2016_2021|father|0-24|56629755.278|4174|21779790.404|4174|13567.262884|5217.9660766
secondary_sector|bd_14#inc_2016_2021|mother|0-24|71195452.334|4411|18425845.346|4411|16140.433538|4177.2490017
secondary_sector|bd_14#inc_2016_2021|relative|25-64|45436150.475|1800|7821646.1658|1800|25242.305819|4345.358981
secondary_sector|bd_14#inc_2016_2021|relative|65+|1811871.5512|67|619504.96932|67|27042.858974|9246.3428256
secondary_sector|bd_14#prev_2021|father|0-24|163649936.3|11137|45609941.391|11137|14694.256649|4095.3525537
secondary_sector|bd_14#prev_2021|mother|0-24|198068212.17|11984|51746124.425|11984|16527.721309|4317.9342811
secondary_sector|bd_14#prev_2021|relative|25-64|287792981.22|13256|40883584.217|13256|21710.393876|3084.1569264
secondary_sector|bd_14#prev_2021|relative|65+|5834053.0133|291|-2771971.675|291|20048.292142|-9525.675858
secondary_sector|bd_15#inc_2016_2021|father|0-24|5423840.8829|393|-243854.0185|393|13801.121839|-620.4936858
secondary_sector|bd_15#inc_2016_2021|mother|0-24|6177265.4666|405|594736.4458|405|15252.507325|1468.4850514
secondary_sector|bd_15#inc_2016_2021|relative|25-64|51592597.05|3213|6734838.0662|3213|16057.453175|2096.1214025
secondary_sector|bd_15#inc_2016_2021|relative|65+|6495805.0431|331|1192417.0152|331|19624.78865|3602.4683238
secondary_sector|bd_15#prev_2021|father|0-24|2763553.0947|227|-3682511.953|227|12174.242708|-16222.51962
secondary_sector|bd_15#prev_2021|mother|0-24|4213932.388|238|730923.58126|238|17705.598269|3071.1074843
