cost_component|cost_period|additional_relative_req|var_pop|closest_relative_group|agegroup|act_cost_total|act_py|att_cost_total|att_py|n_cases_included|act_cost_per_person|att_cost_per_person|att_cost_prop
filled_prescriptions|after_index|no|bd_07#inc_2016_2021|child|65+|47631504.45|30217.008054|5364795.8147|30217.008054|30287|1576.3143844|177.54225716|
filled_prescriptions|after_index|no|bd_07#inc_2016_2021|partner|65+|85737582.11|20992.50393|10863680.248|20992.50393|21531|4084.1998837|517.50283263|
filled_prescriptions|after_index|no|bd_07#inc_2016_2021|pooled|65+|135078893.33|51820.724051|15469063.634|51820.724051|52434|2606.6577765|298.51114428|
filled_prescriptions|after_index|no|bd_07#inc_2016_2021|sibling|65+|1709806.77|611.21206677|-759412.4284|611.21206677|616|2797.4034921|-1242.469627|
filled_prescriptions|after_index|no|bd_07#prev_2021|father|0-24|29612323.76|18787.6|5127255.7486|18787.6|18831|1576.1632013|272.90637168|
filled_prescriptions|after_index|no|bd_07#prev_2021|mother|0-24|24789112.05|16227.767123|4479447.2856|16227.767123|16253|1527.5738099|276.03596056|
filled_prescriptions|after_index|no|bd_07#prev_2021|child|25-64|95646601.91|119288.0137|21875099.505|119288.0137|119595|801.8123443|183.38053277|
filled_prescriptions|after_index|no|bd_07#prev_2021|parent|25-64|293316663.47|81092.769863|38629906.867|81092.769863|82047|3617.0507428|476.3668442|
filled_prescriptions|after_index|no|bd_07#prev_2021|partner|25-64|299927615.58|197841.51233|52484340.186|197841.51233|198191|1515.9994081|265.28477046|
filled_prescriptions|after_index|no|bd_07#prev_2021|pooled|25-64|802204542.61|466351.96438|125511934.82|466351.96438|468141|1720.1697513|269.1356409|
filled_prescriptions|after_index|no|bd_07#prev_2021|sibling|25-64|113313661.65|68129.668493|12522588.262|68129.668493|68308|1663.2058273|183.80521349|
filled_prescriptions|after_index|no|bd_07#prev_2021|child|65+|155060410.25|100168.25753|20900760.365|100168.25753|100367|1547.9994768|208.65652333|
filled_prescriptions|after_index|no|bd_07#prev_2021|partner|65+|296587524.04|76906.043836|23721348.484|76906.043836|77901|3856.491756|308.44582949|
