additional_relative_req|var_pop|agegroup|closest_relative_group|n_agegroup|closest_relative_group_n|has_control_closest_rel_prop
no|bd_02#prev_2021|25-64|child|209296|36538|0.99
no|bd_02#prev_2021|25-64|no_relative|209296|6016|
no|bd_02#prev_2021|25-64|parent|209296|41419|0.99
no|bd_02#prev_2021|25-64|partner|209296|96630|0.99
no|bd_02#prev_2021|25-64|pooled|209296|203280|0.99
no|bd_02#prev_2021|25-64|sibling|209296|28693|0.97
no|bd_02#prev_2021|65+|child|67137|27926|1
no|bd_02#prev_2021|65+|no_relative|67137|8559|
no|bd_02#prev_2021|65+|partner|67137|28232|0.99
no|bd_02#prev_2021|65+|pooled|67137|58578|0.99
no|bd_02#prev_2021|65+|sibling|67137|2420|0.89
no|bd_03#inc_2016_2021|0-24|father|2167|1713|1
no|bd_03#inc_2016_2021|0-24|mother|2167|1823|1
no|bd_03#inc_2016_2021|0-24|no_relative|2167|163|
no|bd_03#inc_2016_2021|25-64|child|7144|1054|1
no|bd_03#inc_2016_2021|25-64|no_relative|7144|304|
no|bd_03#inc_2016_2021|25-64|parent|7144|1581|0.99
no|bd_03#inc_2016_2021|25-64|partner|7144|3186|0.99
no|bd_03#inc_2016_2021|25-64|pooled|7144|6840|0.98
no|bd_03#inc_2016_2021|25-64|sibling|7144|1019|0.94
no|bd_03#inc_2016_2021|65+|child|1281|459|1
no|bd_03#inc_2016_2021|65+|no_relative|1281|176|
no|bd_03#inc_2016_2021|65+|partner|1281|610|0.99
no|bd_03#inc_2016_2021|65+|pooled|1281|1105|0.99
no|bd_03#inc_2016_2021|65+|sibling|1281|36|0.91
no|bd_03#prev_2021|0-24|father|1434|1140|1
no|bd_03#prev_2021|0-24|mother|1434|1188|1
no|bd_03#prev_2021|0-24|no_relative|1434|78|
no|bd_03#prev_2021|25-64|child|24123|4172|0.99
no|bd_03#prev_2021|25-64|no_relative|24123|718|
no|bd_03#prev_2021|25-64|parent|24123|5447|0.99
no|bd_03#prev_2021|25-64|partner|24123|9904|0.99
no|bd_03#prev_2021|25-64|pooled|24123|23405|0.99
no|bd_03#prev_2021|25-64|sibling|24123|3882|0.95
no|bd_03#prev_2021|65+|child|9241|3779|1
no|bd_03#prev_2021|65+|no_relative|9241|1175|
no|bd_03#prev_2021|65+|partner|9241|3758|0.99
no|bd_03#prev_2021|65+|pooled|9241|8066|0.98
no|bd_03#prev_2021|65+|sibling|9241|529|0.88
no|bd_04#inc_2016_2021|0-24|father|591|471|1
no|bd_04#inc_2016_2021|0-24|mother|591|501|1
no|bd_04#inc_2016_2021|0-24|no_relative|591|64|
no|bd_04#inc_2016_2021|25-64|child|5582|832|0.99
no|bd_04#inc_2016_2021|25-64|no_relative|5582|161|
no|bd_04#inc_2016_2021|25-64|parent|5582|522|0.99
no|bd_04#inc_2016_2021|25-64|partner|5582|3552|0.99
no|bd_04#inc_2016_2021|25-64|pooled|5582|5421|0.99
no|bd_04#inc_2016_2021|25-64|sibling|5582|515|0.97
no|bd_04#inc_2016_2021|65+|child|6532|2640|1
no|bd_04#inc_2016_2021|65+|no_relative|6532|663|
no|bd_04#inc_2016_2021|65+|partner|6532|3130|0.99
no|bd_04#inc_2016_2021|65+|pooled|6532|5869|0.99
no|bd_04#inc_2016_2021|65+|sibling|6532|99|0.79
no|bd_04#prev_2021|0-24|father|877|739|1
no|bd_04#prev_2021|0-24|mother|877|780|1
no|bd_04#prev_2021|0-24|no_relative|877|54|
no|bd_04#prev_2021|25-64|child|8370|1169|0.99
no|bd_04#prev_2021|25-64|no_relative|8370|165|
no|bd_04#prev_2021|25-64|parent|8370|1031|1
no|bd_04#prev_2021|25-64|partner|8370|5198|0.99
no|bd_04#prev_2021|25-64|pooled|8370|8205|0.99
no|bd_04#prev_2021|25-64|sibling|8370|807|0.96
no|bd_04#prev_2021|65+|child|9492|3273|1
no|bd_04#prev_2021|65+|no_relative|9492|731|
no|bd_04#prev_2021|65+|partner|9492|5315|0.99
no|bd_04#prev_2021|65+|pooled|9492|8761|0.99
no|bd_04#prev_2021|65+|sibling|9492|173|0.86
no|bd_05#inc_2016_2021|0-24|father|1214|873|1
no|bd_05#inc_2016_2021|0-24|mother|1214|923|1
no|bd_05#inc_2016_2021|0-24|no_relative|1214|224|
no|bd_05#inc_2016_2021|25-64|child|572|60|1
no|bd_05#inc_2016_2021|25-64|no_relative|572|35|
no|bd_05#inc_2016_2021|25-64|parent|572|154|0.98
no|bd_05#inc_2016_2021|25-64|partner|572|182|1
no|bd_05#inc_2016_2021|25-64|pooled|572|537|0.98
no|bd_05#inc_2016_2021|25-64|sibling|572|141|0.95
no|bd_05#inc_2016_2021|65+|child|339|122|1
no|bd_05#inc_2016_2021|65+|no_relative|339|90|
no|bd_05#inc_2016_2021|65+|partner|339|120|1
no|bd_05#inc_2016_2021|65+|pooled|339|249|1
no|bd_05#inc_2016_2021|65+|sibling|339|7|1
no|bd_05#prev_2021|0-24|father|4702|4061|1
no|bd_05#prev_2021|0-24|mother|4702|4249|1
no|bd_05#prev_2021|0-24|no_relative|4702|194|
no|bd_05#prev_2021|25-64|child|3707|153|0.99
no|bd_05#prev_2021|25-64|no_relative|3707|126|
no|bd_05#prev_2021|25-64|parent|3707|1638|0.99
no|bd_05#prev_2021|25-64|partner|3707|674|0.99
no|bd_05#prev_2021|25-64|pooled|3707|3581|0.97
no|bd_05#prev_2021|25-64|sibling|3707|1116|0.92
no|bd_05#prev_2021|65+|child|718|186|1
no|bd_05#prev_2021|65+|no_relative|718|256|
no|bd_05#prev_2021|65+|partner|718|212|1
no|bd_05#prev_2021|65+|pooled|718|462|0.98
no|bd_05#prev_2021|65+|sibling|718|64|0.9
no|bd_06#inc_2016_2021|0-24|father|33||
no|bd_06#inc_2016_2021|0-24|mother|33||
no|bd_06#inc_2016_2021|0-24|no_relative|33||
no|bd_06#inc_2016_2021|25-64|child|3055|561|1
no|bd_06#inc_2016_2021|25-64|no_relative|3055|174|
no|bd_06#inc_2016_2021|25-64|parent|3055|279|0.98
no|bd_06#inc_2016_2021|25-64|partner|3055|1498|0.99
no|bd_06#inc_2016_2021|25-64|pooled|3055|2881|0.99
no|bd_06#inc_2016_2021|25-64|sibling|3055|543|0.99
no|bd_06#inc_2016_2021|65+|child|49243|22349|1
no|bd_06#inc_2016_2021|65+|no_relative|49243|5967|
no|bd_06#inc_2016_2021|65+|partner|49243|20536|0.99
no|bd_06#inc_2016_2021|65+|pooled|49243|43276|0.99
no|bd_06#inc_2016_2021|65+|sibling|49243|391|0.64
no|bd_06#prev_2021|0-24|father|69||
no|bd_06#prev_2021|0-24|mother|69||
no|bd_06#prev_2021|0-24|no_relative|69||
no|bd_06#prev_2021|25-64|child|3525|674|1
no|bd_06#prev_2021|25-64|no_relative|3525|221|
no|bd_06#prev_2021|25-64|parent|3525|438|0.99
no|bd_06#prev_2021|25-64|partner|3525|1423|0.99
no|bd_06#prev_2021|25-64|pooled|3525|3304|0.99
no|bd_06#prev_2021|25-64|sibling|3525|769|0.98
no|bd_06#prev_2021|65+|child|39540|20532|1
no|bd_06#prev_2021|65+|no_relative|39540|4927|
no|bd_06#prev_2021|65+|partner|39540|13573|0.99
no|bd_06#prev_2021|65+|pooled|39540|34613|0.99
no|bd_06#prev_2021|65+|sibling|39540|508|0.76
no|bd_07#inc_2016_2021|0-24|father|35182|23140|1
no|bd_07#inc_2016_2021|0-24|mother|35182|20475|1
no|bd_07#inc_2016_2021|0-24|no_relative|35182|6558|
no|bd_07#inc_2016_2021|25-64|child|94037|19023|0.99
no|bd_07#inc_2016_2021|25-64|no_relative|94037|6353|
no|bd_07#inc_2016_2021|25-64|parent|94037|15290|0.99
no|bd_07#inc_2016_2021|25-64|partner|94037|41183|0.99
no|bd_07#inc_2016_2021|25-64|pooled|94037|87684|0.99
no|bd_07#inc_2016_2021|25-64|sibling|94037|12188|0.99
no|bd_07#inc_2016_2021|65+|child|62987|30287|1
no|bd_07#inc_2016_2021|65+|no_relative|62987|10274|
no|bd_07#inc_2016_2021|65+|partner|62987|21587|0.99
no|bd_07#inc_2016_2021|65+|pooled|62987|52713|0.99
no|bd_07#inc_2016_2021|65+|sibling|62987|839|0.73
no|bd_07#prev_2021|0-24|father|29108|18831|1
no|bd_07#prev_2021|0-24|mother|29108|16253|1
no|bd_07#prev_2021|0-24|no_relative|29108|5519|
no|bd_07#prev_2021|25-64|child|491154|119641|0.99
no|bd_07#prev_2021|25-64|no_relative|491154|21252|
no|bd_07#prev_2021|25-64|parent|491154|82168|0.99
no|bd_07#prev_2021|25-64|partner|491154|199086|0.99
no|bd_07#prev_2021|25-64|pooled|491154|469902|0.99
no|bd_07#prev_2021|25-64|sibling|491154|69007|0.98
no|bd_07#prev_2021|65+|child|223742|100368|0.99
no|bd_07#prev_2021|65+|no_relative|223742|37819|
no|bd_07#prev_2021|65+|partner|223742|78109|0.99
no|bd_07#prev_2021|65+|pooled|223742|185923|0.99
