var_pop|agegroup|closest_relative_type|case_relative|__var|__label|__stat_char|__stat_num2|__stat_num3|__stat_num1
bd_01#inc_2016_2021|25-64|partner|0|age_index|age_index|50.2 (40.9;57.4)|40.9397260273972|57.3733662699303|50.23164159
bd_01#inc_2016_2021|25-64|partner|1|__n|__n|13,934 (100.0)|100||13934
bd_01#inc_2016_2021|25-64|partner|1|male|male|6,530 (46.9)|46.8637864217023||6530
bd_01#inc_2016_2021|25-64|partner|1|cci_g|cci_g: title||||
bd_01#inc_2016_2021|25-64|partner|1|cci_g|cci_g: +3|282 (2.0)|2.02382661116693||282
bd_01#inc_2016_2021|25-64|partner|1|cci_g|cci_g: 0|11,752 (84.3)|84.3404621788431||11752
bd_01#inc_2016_2021|25-64|partner|1|cci_g|cci_g: 1-2|1,900 (13.6)|13.6357112099899||1900
bd_01#inc_2016_2021|25-64|partner|1|age_index|age_index|50.2 (41.0;57.5)|40.9616438356164|57.5140878808294|50.180099558
bd_01#inc_2016_2021|25-64|sibling|0|__n|__n|6,337 (100.0)|100||6337
bd_01#inc_2016_2021|25-64|sibling|0|male|male|3,188 (50.3)|50.3077165851349||3188
bd_01#inc_2016_2021|25-64|sibling|0|cci_g|cci_g: title||||
bd_01#inc_2016_2021|25-64|sibling|0|cci_g|cci_g: +3|196 (3.1)|3.09294618904844||196
bd_01#inc_2016_2021|25-64|sibling|0|cci_g|cci_g: 0|5,194 (82.0)|81.9630740097838||5194
bd_01#inc_2016_2021|25-64|sibling|0|cci_g|cci_g: 1-2|947 (14.9)|14.9439798011677||947
bd_01#inc_2016_2021|25-64|sibling|0|age_index|age_index|54.5 (45.1;60.4)|45.10282206752|60.3915861965716|54.535908376
bd_01#inc_2016_2021|25-64|sibling|1|__n|__n|6,337 (100.0)|100||6337
bd_01#inc_2016_2021|25-64|sibling|1|male|male|3,121 (49.3)|49.2504339592867||3121
bd_01#inc_2016_2021|25-64|sibling|1|cci_g|cci_g: title||||
bd_01#inc_2016_2021|25-64|sibling|1|cci_g|cci_g: +3|171 (2.7)|2.69843774656777||171
bd_01#inc_2016_2021|25-64|sibling|1|cci_g|cci_g: 0|5,239 (82.7)|82.673189206249||5239
bd_01#inc_2016_2021|25-64|sibling|1|cci_g|cci_g: 1-2|927 (14.6)|14.6283730471832||927
bd_01#inc_2016_2021|25-64|sibling|1|age_index|age_index|53.1 (43.0;59.2)|43.0488958754397|59.2224043715847|53.073987574
bd_01#inc_2016_2021|65+|child|0|__n|__n|5,050 (100.0)|100||5050
bd_01#inc_2016_2021|65+|child|0|male|male|2,497 (49.4)|49.4455445544554||2497
bd_01#inc_2016_2021|65+|child|0|cci_g|cci_g: title||||
bd_01#inc_2016_2021|65+|child|0|cci_g|cci_g: +3|66 (1.3)|1.3069306930693||66
bd_01#inc_2016_2021|65+|child|0|cci_g|cci_g: 0|4,465 (88.4)|88.4158415841584||4465
bd_01#inc_2016_2021|65+|child|0|cci_g|cci_g: 1-2|519 (10.3)|10.2772277227722||519
bd_01#inc_2016_2021|65+|child|0|age_index|age_index|46.7 (41.0;52.6)|40.9986151658058|52.5932629687851|46.706433865
bd_01#inc_2016_2021|65+|child|1|__n|__n|5,050 (100.0)|100||5050
bd_01#inc_2016_2021|65+|child|1|male|male|2,474 (49.0)|48.990099009901||2474
bd_01#inc_2016_2021|65+|child|1|cci_g|cci_g: title||||
bd_01#inc_2016_2021|65+|child|1|cci_g|cci_g: +3|62 (1.2)|1.22772277227722||62
bd_01#inc_2016_2021|65+|child|1|cci_g|cci_g: 0|4,445 (88.0)|88.019801980198||4445
bd_01#inc_2016_2021|65+|child|1|cci_g|cci_g: 1-2|543 (10.8)|10.7524752475247||543
bd_01#inc_2016_2021|65+|child|1|age_index|age_index|47.0 (41.7;52.6)|41.7123287671232|52.6237517778276|47.044337151
bd_01#inc_2016_2021|65+|partner|0|__n|__n|5,175 (100.0)|100||5175
bd_01#inc_2016_2021|65+|partner|0|male|male|1,853 (35.8)|35.8067632850241||1853
bd_01#inc_2016_2021|65+|partner|0|cci_g|cci_g: title||||
bd_01#inc_2016_2021|65+|partner|0|cci_g|cci_g: +3|421 (8.1)|8.13526570048309||421
bd_01#inc_2016_2021|65+|partner|0|cci_g|cci_g: 0|3,392 (65.5)|65.5458937198067||3392
bd_01#inc_2016_2021|65+|partner|0|cci_g|cci_g: 1-2|1,362 (26.3)|26.3188405797101||1362
bd_01#inc_2016_2021|65+|partner|0|age_index|age_index|70.8 (66.5;75.2)|66.4861516580582|75.1839958080694|70.813923198
bd_01#inc_2016_2021|65+|partner|1|__n|__n|5,175 (100.0)|100||5175
bd_01#inc_2016_2021|65+|partner|1|male|male|1,857 (35.9)|35.8840579710144||1857
bd_01#inc_2016_2021|65+|partner|1|cci_g|cci_g: title||||
bd_01#inc_2016_2021|65+|partner|1|cci_g|cci_g: +3|490 (9.5)|9.46859903381642||490
bd_01#inc_2016_2021|65+|partner|1|cci_g|cci_g: 0|3,243 (62.7)|62.6666666666666||3243
bd_01#inc_2016_2021|65+|partner|1|cci_g|cci_g: 1-2|1,442 (27.9)|27.8647342995169||1442
bd_01#inc_2016_2021|65+|partner|1|age_index|age_index|70.8 (66.2;75.3)|66.1668463208324|75.331506849315|70.843835616
bd_01#prev_2021|0-24|father|0|__n|__n|1,527 (100.0)|100||1527
bd_01#prev_2021|0-24|father|0|male|male|1,527 (100.0)|100||1527
bd_01#prev_2021|0-24|father|0|cci_g|cci_g: title||||
bd_01#prev_2021|0-24|father|0|cci_g|cci_g: +3|24 (1.6)|1.57170923379174||24
bd_01#prev_2021|0-24|father|0|cci_g|cci_g: 0|1,308 (85.7)|85.6581532416503||1308
bd_01#prev_2021|0-24|father|0|cci_g|cci_g: 1-2|195 (12.8)|12.7701375245579||195
bd_01#prev_2021|0-24|father|0|age_index|age_index|53.9 (50.2;57.8)|50.1972602739726|57.7616438356164|53.947945205
bd_01#prev_2021|0-24|father|1|__n|__n|1,527 (100.0)|100||1527
bd_01#prev_2021|0-24|father|1|male|male|1,527 (100.0)|100||1527
bd_01#prev_2021|0-24|father|1|cci_g|cci_g: title||||
bd_01#prev_2021|0-24|father|1|cci_g|cci_g: +3|42 (2.8)|2.75049115913556||42
bd_01#prev_2021|0-24|father|1|cci_g|cci_g: 0|1,242 (81.3)|81.3359528487229||1242
bd_01#prev_2021|0-24|father|1|cci_g|cci_g: 1-2|243 (15.9)|15.9135559921414||243
bd_01#prev_2021|0-24|father|1|age_index|age_index|53.6 (49.4;57.5)|49.3616438356164|57.5479452054794|53.602739726
bd_01#prev_2021|0-24|mother|0|__n|__n|1,807 (100.0)|100||1807
bd_01#prev_2021|0-24|mother|0|male|male|0 (0.0)|0||0
bd_01#prev_2021|0-24|mother|0|cci_g|cci_g: title||||
bd_01#prev_2021|0-24|mother|0|cci_g|cci_g: +3|26 (1.4)|1.4388489208633||26
bd_01#prev_2021|0-24|mother|0|cci_g|cci_g: 0|1,551 (85.8)|85.8328721638074||1551
bd_01#prev_2021|0-24|mother|0|cci_g|cci_g: 1-2|230 (12.7)|12.7282789153292||230
bd_01#prev_2021|0-24|mother|0|age_index|age_index|51.7 (48.0;55.0)|48.0245901639344|55.0493150684931|51.687671233
bd_01#prev_2021|0-24|mother|1|__n|__n|1,807 (100.0)|100||1807
bd_01#prev_2021|0-24|mother|1|male|male|0 (0.0)|0||0
bd_01#prev_2021|0-24|mother|1|cci_g|cci_g: title||||
bd_01#prev_2021|0-24|mother|1|cci_g|cci_g: +3|19 (1.1)|1.05146651909241||19
bd_01#prev_2021|0-24|mother|1|cci_g|cci_g: 0|1,472 (81.5)|81.4609850581073||1472
bd_01#prev_2021|0-24|mother|1|cci_g|cci_g: 1-2|316 (17.5)|17.4875484228002||316
bd_01#prev_2021|0-24|mother|1|age_index|age_index|51.1 (46.7;55.2)|46.6575342465753|55.2054794520548|51.104109589
bd_01#prev_2021|25-64|parent|0|__n|__n|22,971 (100.0)|100||22971
bd_01#prev_2021|25-64|parent|0|male|male|5,321 (23.2)|23.1639893779112||5321
bd_01#prev_2021|25-64|parent|0|cci_g|cci_g: title||||
bd_01#prev_2021|25-64|parent|0|cci_g|cci_g: +3|2,162 (9.4)|9.41186713682469||2162
bd_01#prev_2021|25-64|parent|0|cci_g|cci_g: 0|14,225 (61.9)|61.925906577859||14225
bd_01#prev_2021|25-64|parent|0|cci_g|cci_g: 1-2|6,584 (28.7)|28.6622262853162||6584
bd_01#prev_2021|25-64|parent|0|age_index|age_index|73.4 (65.2;79.7)|65.1835616438356|79.7397260273972|73.397260274
bd_01#prev_2021|25-64|parent|1|__n|__n|22,971 (100.0)|100||22971
bd_01#prev_2021|25-64|parent|1|male|male|5,274 (23.0)|22.959383570589||5274
bd_01#prev_2021|25-64|parent|1|cci_g|cci_g: title||||
bd_01#prev_2021|25-64|parent|1|cci_g|cci_g: +3|2,311 (10.1)|10.0605110791868||2311
bd_01#prev_2021|25-64|parent|1|cci_g|cci_g: 0|13,546 (59.0)|58.9700056593095||13546
bd_01#prev_2021|25-64|parent|1|cci_g|cci_g: 1-2|7,114 (31.0)|30.9694832615036||7114
bd_01#prev_2021|25-64|parent|1|age_index|age_index|72.8 (64.5;79.1)|64.5136612021858|79.1205479452055|72.786885246
bd_01#prev_2021|25-64|partner|0|__n|__n|36,747 (100.0)|100||36747
bd_01#prev_2021|25-64|partner|0|male|male|11,549 (31.4)|31.4284159251095||11549
bd_01#prev_2021|25-64|partner|0|cci_g|cci_g: title||||
bd_01#prev_2021|25-64|partner|0|cci_g|cci_g: +3|624 (1.7)|1.69809780390235||624
bd_01#prev_2021|25-64|partner|0|cci_g|cci_g: 0|31,694 (86.2)|86.2492176232073||31694
bd_01#prev_2021|25-64|partner|0|cci_g|cci_g: 1-2|4,429 (12.1)|12.0526845728903||4429
bd_01#prev_2021|25-64|partner|0|age_index|age_index|51.1 (41.3;58.1)|41.2739726027397|58.1068493150685|51.068493151
bd_01#prev_2021|25-64|partner|1|__n|__n|36,747 (100.0)|100||36747
bd_01#prev_2021|25-64|partner|1|male|male|11,483 (31.2)|31.2488094266198||11483
bd_01#prev_2021|25-64|partner|1|cci_g|cci_g: title||||
bd_01#prev_2021|25-64|partner|1|cci_g|cci_g: +3|870 (2.4)|2.36754020736386||870
bd_01#prev_2021|25-64|partner|1|cci_g|cci_g: 0|30,321 (82.5)|82.5128581925055||30321
bd_01#prev_2021|25-64|partner|1|cci_g|cci_g: 1-2|5,556 (15.1)|15.1196016001306||5556
bd_01#prev_2021|25-64|partner|1|age_index|age_index|51.6 (41.0;58.6)|41.0410958904109|58.6027397260274|51.55890411
bd_01#prev_2021|25-64|sibling|0|__n|__n|29,994 (100.0)|100||29994
bd_01#prev_2021|25-64|sibling|0|male|male|15,106 (50.4)|50.3634060145362||15106
bd_01#prev_2021|25-64|sibling|0|cci_g|cci_g: title||||
bd_01#prev_2021|25-64|sibling|0|cci_g|cci_g: +3|904 (3.0)|3.01393612055744||904
bd_01#prev_2021|25-64|sibling|0|cci_g|cci_g: 0|24,054 (80.2)|80.1960392078415||24054
bd_01#prev_2021|25-64|sibling|0|cci_g|cci_g: 1-2|5,036 (16.8)|16.7900246716009||5036
bd_01#prev_2021|25-64|sibling|0|age_index|age_index|56.7 (48.8;62.1)|48.7622950819672|62.0684931506849|56.655737705
bd_01#prev_2021|25-64|sibling|1|__n|__n|29,994 (100.0)|100||29994
bd_01#prev_2021|25-64|sibling|1|male|male|14,357 (47.9)|47.8662399146496||14357
bd_01#prev_2021|25-64|sibling|1|cci_g|cci_g: title||||
bd_01#prev_2021|25-64|sibling|1|cci_g|cci_g: +3|930 (3.1)|3.1006201240248||930
bd_01#prev_2021|25-64|sibling|1|cci_g|cci_g: 0|24,090 (80.3)|80.3160632126425||24090
bd_01#prev_2021|25-64|sibling|1|cci_g|cci_g: 1-2|4,974 (16.6)|16.5833166633326||4974
bd_01#prev_2021|25-64|sibling|1|age_index|age_index|55.4 (47.1;61.0)|47.0520547945205|60.983606557377|55.408219178
bd_01#prev_2021|65+|child|0|__n|__n|21,213 (100.0)|100||21213
bd_01#prev_2021|65+|child|0|male|male|10,538 (49.7)|49.6770848064866||10538
bd_01#prev_2021|65+|child|0|cci_g|cci_g: title||||
bd_01#prev_2021|65+|child|0|cci_g|cci_g: +3|254 (1.2)|1.19737896572856||254
bd_01#prev_2021|65+|child|0|cci_g|cci_g: 0|18,795 (88.6)|88.6013293734973||18795
bd_01#prev_2021|65+|child|0|cci_g|cci_g: 1-2|2,164 (10.2)|10.201291660774||2164
bd_01#prev_2021|65+|child|0|age_index|age_index|46.4 (40.2;52.5)|40.2158469945355|52.4562841530054|46.350684932
bd_01#prev_2021|65+|child|1|__n|__n|21,213 (100.0)|100||21213
bd_01#prev_2021|65+|child|1|male|male|9,999 (47.1)|47.1361900721255||9999
bd_01#prev_2021|65+|child|1|cci_g|cci_g: title||||
bd_01#prev_2021|65+|child|1|cci_g|cci_g: +3|252 (1.2)|1.18795078489605||252
bd_01#prev_2021|65+|child|1|cci_g|cci_g: 0|18,700 (88.2)|88.1534907839532||18700
bd_01#prev_2021|65+|child|1|cci_g|cci_g: 1-2|2,261 (10.7)|10.6585584311507||2261
bd_01#prev_2021|65+|child|1|age_index|age_index|46.5 (40.7;52.4)|40.6967213114754|52.4207650273224|46.473972603
bd_01#prev_2021|65+|partner|0|__n|__n|18,528 (100.0)|100||18528
bd_01#prev_2021|65+|partner|0|male|male|5,459 (29.5)|29.4635146804836||5459
bd_01#prev_2021|65+|partner|0|cci_g|cci_g: title||||
bd_01#prev_2021|65+|partner|0|cci_g|cci_g: +3|1,350 (7.3)|7.28626943005181||1350
bd_01#prev_2021|65+|partner|0|cci_g|cci_g: 0|12,228 (66.0)|65.9974093264248||12228
bd_01#prev_2021|65+|partner|0|cci_g|cci_g: 1-2|4,950 (26.7)|26.7163212435233||4950
bd_01#prev_2021|65+|partner|0|age_index|age_index|70.8 (66.2;75.4)|66.2410958904109|75.3643835616438|70.849315068
bd_01#prev_2021|65+|partner|1|__n|__n|18,528 (100.0)|100||18528
bd_01#prev_2021|65+|partner|1|male|male|5,462 (29.5)|29.4797063903281||5462
bd_01#prev_2021|65+|partner|1|cci_g|cci_g: title||||
bd_01#prev_2021|65+|partner|1|cci_g|cci_g: +3|1,569 (8.5)|8.46826424870466||1569
bd_01#prev_2021|65+|partner|1|cci_g|cci_g: 0|11,777 (63.6)|63.563255613126||11777
bd_01#prev_2021|65+|partner|1|cci_g|cci_g: 1-2|5,182 (28.0)|27.9684801381692||5182
bd_01#prev_2021|65+|partner|1|age_index|age_index|70.8 (66.1;75.4)|66.1397260273972|75.3684931506849|70.820547945
bd_02#inc_2016_2021|0-24|father|0|__n|__n|24,599 (100.0)|100||24599
bd_02#inc_2016_2021|0-24|father|0|male|male|24,599 (100.0)|100||24599
bd_02#inc_2016_2021|0-24|father|0|cci_g|cci_g: title||||
bd_02#inc_2016_2021|0-24|father|0|cci_g|cci_g: +3|377 (1.5)|1.53258262530997||377
bd_02#inc_2016_2021|0-24|father|0|cci_g|cci_g: 0|21,440 (87.2)|87.1580145534371||21440
bd_02#inc_2016_2021|0-24|father|0|cci_g|cci_g: 1-2|2,782 (11.3)|11.3094028212528||2782
bd_02#inc_2016_2021|0-24|father|0|age_index|age_index|51.1 (46.9;55.3)|46.8739726027397|55.3068493150685|51.14939741
bd_02#inc_2016_2021|0-24|father|1|__n|__n|24,599 (100.0)|100||24599
bd_02#inc_2016_2021|0-24|father|1|male|male|24,599 (100.0)|100||24599
bd_02#inc_2016_2021|0-24|father|1|cci_g|cci_g: title||||
