additional_relative_req|var_pop|agegroup|closest_relative_type|n_agegroup|closest_relative_type_n|has_control_closest_rel_prop
no|bd_00#inc_2016_2021|0-24|father|203829|83170|0.41
no|bd_00#inc_2016_2021|0-24|mother|203829|67073|0.33
no|bd_00#inc_2016_2021|0-24|no_relative|203829|53586|
no|bd_00#inc_2016_2021|25-64|child|233847|55787|0.24
no|bd_00#inc_2016_2021|25-64|father|233847|12788|0.05
no|bd_00#inc_2016_2021|25-64|mother|233847|19898|0.09
no|bd_00#inc_2016_2021|25-64|no_relative|233847|24582|
no|bd_00#inc_2016_2021|25-64|partner|233847|90209|0.38
no|bd_00#inc_2016_2021|25-64|sibling|233847|30583|0.13
no|bd_00#inc_2016_2021|65+|child|146681|66397|0.45
no|bd_00#inc_2016_2021|65+|no_relative|146681|38588|
no|bd_00#inc_2016_2021|65+|partner|146681|41696|0.28
no|bd_00#prev_2021|0-24|father|321533|131137|0.41
no|bd_00#prev_2021|0-24|mother|321533|100582|0.31
no|bd_00#prev_2021|0-24|no_relative|321533|89814|
no|bd_00#prev_2021|25-64|child|1103632|290917|0.26
no|bd_00#prev_2021|25-64|father|1103632|68866|0.06
no|bd_00#prev_2021|25-64|mother|1103632|98353|0.09
no|bd_00#prev_2021|25-64|no_relative|1103632|107800|
no|bd_00#prev_2021|25-64|partner|1103632|365434|0.33
no|bd_00#prev_2021|25-64|sibling|1103632|172262|0.16
no|bd_00#prev_2021|65+|child|566845|246350|0.43
no|bd_00#prev_2021|65+|no_relative|566845|171819|
no|bd_00#prev_2021|65+|partner|566845|148676|0.26
no|bd_01#inc_2016_2021|0-24|father|5339|2264|0.42
no|bd_01#inc_2016_2021|0-24|mother|5339|2767|0.52
no|bd_01#inc_2016_2021|0-24|no_relative|5339|308|
no|bd_01#inc_2016_2021|25-64|child|30453|5455|0.18
no|bd_01#inc_2016_2021|25-64|father|30453|1235|0.04
no|bd_01#inc_2016_2021|25-64|mother|30453|3943|0.13
no|bd_01#inc_2016_2021|25-64|no_relative|30453|1518|
no|bd_01#inc_2016_2021|25-64|partner|30453|13934|0.46
no|bd_01#inc_2016_2021|25-64|sibling|30453|4368|0.14
no|bd_01#inc_2016_2021|65+|child|12154|5050|0.42
no|bd_01#inc_2016_2021|65+|no_relative|12154|1929|
no|bd_01#inc_2016_2021|65+|partner|12154|5175|0.42
no|bd_01#prev_2021|0-24|father|3631|1527|0.42
no|bd_01#prev_2021|0-24|mother|3631|1807|0.5
no|bd_01#prev_2021|0-24|no_relative|3631|297|
no|bd_01#prev_2021|25-64|child|100970|21978|0.22
no|bd_01#prev_2021|25-64|father|100970|4343|0.04
no|bd_01#prev_2021|25-64|mother|100970|14527|0.14
no|bd_01#prev_2021|25-64|no_relative|100970|4044|
no|bd_01#prev_2021|25-64|partner|100970|36747|0.36
no|bd_01#prev_2021|25-64|sibling|100970|19331|0.19
no|bd_01#prev_2021|65+|child|48369|21213|0.44
no|bd_01#prev_2021|65+|no_relative|48369|8628|
no|bd_01#prev_2021|65+|partner|48369|18528|0.38
no|bd_02#inc_2016_2021|0-24|father|51037|24599|0.48
no|bd_02#inc_2016_2021|0-24|mother|51037|23853|0.47
no|bd_02#inc_2016_2021|0-24|no_relative|51037|2585|
no|bd_02#inc_2016_2021|25-64|child|59259|9379|0.16
no|bd_02#inc_2016_2021|25-64|father|59259|3131|0.05
no|bd_02#inc_2016_2021|25-64|mother|59259|8059|0.14
no|bd_02#inc_2016_2021|25-64|no_relative|59259|2913|
no|bd_02#inc_2016_2021|25-64|partner|59259|28223|0.47
no|bd_02#inc_2016_2021|25-64|sibling|59259|7554|0.12
no|bd_02#inc_2016_2021|65+|child|22199|10514|0.47
no|bd_02#inc_2016_2021|65+|no_relative|22199|3054|
no|bd_02#inc_2016_2021|65+|partner|22199|8631|0.39
no|bd_02#prev_2021|0-24|father|47618|23186|0.49
no|bd_02#prev_2021|0-24|mother|47618|22222|0.47
no|bd_02#prev_2021|0-24|no_relative|47618|2210|
no|bd_02#prev_2021|25-64|child|209296|36427|0.17
no|bd_02#prev_2021|25-64|father|209296|11859|0.06
no|bd_02#prev_2021|25-64|mother|209296|29595|0.14
no|bd_02#prev_2021|25-64|no_relative|209296|6016|
no|bd_02#prev_2021|25-64|partner|209296|96630|0.46
no|bd_02#prev_2021|25-64|sibling|209296|28769|0.13
no|bd_02#prev_2021|65+|child|67137|28767|0.43
no|bd_02#prev_2021|65+|no_relative|67137|10138|
no|bd_02#prev_2021|65+|partner|67137|28232|0.42
no|bd_03#inc_2016_2021|0-24|father|3699|1713|0.46
no|bd_03#inc_2016_2021|0-24|mother|3699|1823|0.49
no|bd_03#inc_2016_2021|0-24|no_relative|3699|163|
no|bd_03#inc_2016_2021|25-64|child|7144|1050|0.15
no|bd_03#inc_2016_2021|25-64|father|7144|409|0.06
no|bd_03#inc_2016_2021|25-64|mother|7144|1183|0.17
no|bd_03#inc_2016_2021|25-64|no_relative|7144|304|
no|bd_03#inc_2016_2021|25-64|partner|7144|3186|0.44
no|bd_03#inc_2016_2021|25-64|sibling|7144|1012|0.13
no|bd_03#inc_2016_2021|65+|child|1281|470|0.37
no|bd_03#inc_2016_2021|65+|no_relative|1281|201|
no|bd_03#inc_2016_2021|65+|partner|1281|610|0.47
no|bd_03#prev_2021|0-24|father|2406|1140|0.47
no|bd_03#prev_2021|0-24|mother|2406|1188|0.49
no|bd_03#prev_2021|0-24|no_relative|2406|78|
no|bd_03#prev_2021|25-64|child|24123|4205|0.17
no|bd_03#prev_2021|25-64|father|24123|1357|0.06
no|bd_03#prev_2021|25-64|mother|24123|4050|0.17
no|bd_03#prev_2021|25-64|no_relative|24123|718|
no|bd_03#prev_2021|25-64|partner|24123|9904|0.41
no|bd_03#prev_2021|25-64|sibling|24123|3889|0.15
no|bd_03#prev_2021|65+|child|9241|3968|0.43
no|bd_03#prev_2021|65+|no_relative|9241|1515|
no|bd_03#prev_2021|65+|partner|9241|3758|0.4
no|bd_04#inc_2016_2021|0-24|father|1036|471|0.45
no|bd_04#inc_2016_2021|0-24|mother|1036|501|0.48
no|bd_04#inc_2016_2021|0-24|no_relative|1036|64|
no|bd_04#inc_2016_2021|25-64|child|5582|854|0.15
no|bd_04#inc_2016_2021|25-64|father|5582|122|0.02
no|bd_04#inc_2016_2021|25-64|mother|5582|404|0.07
no|bd_04#inc_2016_2021|25-64|no_relative|5582|161|
no|bd_04#inc_2016_2021|25-64|partner|5582|3552|0.63
no|bd_04#inc_2016_2021|25-64|sibling|5582|489|0.09
no|bd_04#inc_2016_2021|65+|child|6532|2679|0.41
no|bd_04#inc_2016_2021|65+|no_relative|6532|723|
no|bd_04#inc_2016_2021|65+|partner|6532|3130|0.48
no|bd_04#prev_2021|0-24|father|1573|739|0.47
no|bd_04#prev_2021|0-24|mother|1573|780|0.5
no|bd_04#prev_2021|0-24|no_relative|1573|54|
no|bd_04#prev_2021|25-64|child|8370|1182|0.14
no|bd_04#prev_2021|25-64|father|8370|256|0.03
no|bd_04#prev_2021|25-64|mother|8370|773|0.09
no|bd_04#prev_2021|25-64|no_relative|8370|165|
no|bd_04#prev_2021|25-64|partner|8370|5198|0.62
no|bd_04#prev_2021|25-64|sibling|8370|796|0.09
no|bd_04#prev_2021|65+|child|9492|3341|0.35
no|bd_04#prev_2021|65+|no_relative|9492|836|
no|bd_04#prev_2021|65+|partner|9492|5315|0.56
no|bd_05#inc_2016_2021|0-24|father|2020|873|0.43
no|bd_05#inc_2016_2021|0-24|mother|2020|923|0.46
no|bd_05#inc_2016_2021|0-24|no_relative|2020|224|
no|bd_05#inc_2016_2021|25-64|child|572|58|0.1
no|bd_05#inc_2016_2021|25-64|father|572|34|0.06
no|bd_05#inc_2016_2021|25-64|mother|572|121|0.21
no|bd_05#inc_2016_2021|25-64|no_relative|572|35|
no|bd_05#inc_2016_2021|25-64|partner|572|182|0.32
no|bd_05#inc_2016_2021|25-64|sibling|572|142|0.24
no|bd_05#inc_2016_2021|65+|child|339|124|0.37
no|bd_05#inc_2016_2021|65+|no_relative|339|95|
no|bd_05#inc_2016_2021|65+|partner|339|120|0.35
no|bd_05#prev_2021|0-24|father|8504|4061|0.48
no|bd_05#prev_2021|0-24|mother|8504|4249|0.5
no|bd_05#prev_2021|0-24|no_relative|8504|194|
no|bd_05#prev_2021|25-64|child|3707|162|0.04
no|bd_05#prev_2021|25-64|father|3707|406|0.11
no|bd_05#prev_2021|25-64|mother|3707|1255|0.34
no|bd_05#prev_2021|25-64|no_relative|3707|126|
no|bd_05#prev_2021|25-64|partner|3707|674|0.18
no|bd_05#prev_2021|25-64|sibling|3707|1084|0.27
no|bd_05#prev_2021|65+|child|718|192|0.27
no|bd_05#prev_2021|65+|no_relative|718|314|
no|bd_05#prev_2021|65+|partner|718|212|0.3
no|bd_06#inc_2016_2021|0-24|father|57||
no|bd_06#inc_2016_2021|0-24|mother|57||
no|bd_06#inc_2016_2021|0-24|no_relative|57||
no|bd_06#inc_2016_2021|25-64|child|3055|564|0.18
no|bd_06#inc_2016_2021|25-64|father|3055|61|0.02
no|bd_06#inc_2016_2021|25-64|mother|3055|202|0.07
no|bd_06#inc_2016_2021|25-64|no_relative|3055|174|
no|bd_06#inc_2016_2021|25-64|partner|3055|1498|0.49
no|bd_06#inc_2016_2021|25-64|sibling|3055|556|0.18
no|bd_06#inc_2016_2021|65+|child|49243|22503|0.46
no|bd_06#inc_2016_2021|65+|no_relative|49243|6204|
no|bd_06#inc_2016_2021|65+|partner|49243|20536|0.42
no|bd_06#prev_2021|0-24|father|126||
no|bd_06#prev_2021|0-24|mother|126||
no|bd_06#prev_2021|0-24|no_relative|126||
no|bd_06#prev_2021|25-64|child|3525|691|0.2
no|bd_06#prev_2021|25-64|father|3525|85|0.02
no|bd_06#prev_2021|25-64|mother|3525|320|0.09
no|bd_06#prev_2021|25-64|no_relative|3525|221|
no|bd_06#prev_2021|25-64|partner|3525|1423|0.4
no|bd_06#prev_2021|25-64|sibling|3525|785|0.22
no|bd_06#prev_2021|65+|child|39540|20719|0.52
no|bd_06#prev_2021|65+|no_relative|39540|5248|
no|bd_06#prev_2021|65+|partner|39540|13573|0.34
no|bd_07#inc_2016_2021|0-24|father|50173|23140|0.46
no|bd_07#inc_2016_2021|0-24|mother|50173|20475|0.41
no|bd_07#inc_2016_2021|0-24|no_relative|50173|6558|
no|bd_07#inc_2016_2021|25-64|child|94037|19024|0.2
no|bd_07#inc_2016_2021|25-64|father|94037|5099|0.05
no|bd_07#inc_2016_2021|25-64|mother|94037|10211|0.11
no|bd_07#inc_2016_2021|25-64|no_relative|94037|6353|
no|bd_07#inc_2016_2021|25-64|partner|94037|41183|0.44
no|bd_07#inc_2016_2021|25-64|sibling|94037|12167|0.13
no|bd_07#inc_2016_2021|65+|child|62987|30596|0.49
no|bd_07#inc_2016_2021|65+|no_relative|62987|10804|
no|bd_07#inc_2016_2021|65+|partner|62987|21587|0.34
no|bd_07#prev_2021|0-24|father|40603|18831|0.46
no|bd_07#prev_2021|0-24|mother|40603|16253|0.4
no|bd_07#prev_2021|0-24|no_relative|40603|5519|
no|bd_07#prev_2021|25-64|child|491154|119717|0.24
no|bd_07#prev_2021|25-64|father|491154|28270|0.06
no|bd_07#prev_2021|25-64|mother|491154|53733|0.11
no|bd_07#prev_2021|25-64|no_relative|491154|21252|
no|bd_07#prev_2021|25-64|partner|491154|199086|0.4
no|bd_07#prev_2021|25-64|sibling|491154|69096|0.14
no|bd_07#prev_2021|65+|child|223742|102856|0.46
no|bd_07#prev_2021|65+|no_relative|223742|42777|
no|bd_07#prev_2021|65+|partner|223742|78109|0.35
no|bd_08#inc_2016_2021|0-24|father|104676|49390|0.47
no|bd_08#inc_2016_2021|0-24|mother|104676|51687|0.49
no|bd_08#inc_2016_2021|0-24|no_relative|104676|3599|
no|bd_08#inc_2016_2021|25-64|child|24563|2819|0.11
no|bd_08#inc_2016_2021|25-64|father|24563|1784|0.07
no|bd_08#inc_2016_2021|25-64|mother|24563|5648|0.23
no|bd_08#inc_2016_2021|25-64|no_relative|24563|847|
no|bd_08#inc_2016_2021|25-64|partner|24563|9691|0.39
no|bd_08#inc_2016_2021|25-64|sibling|24563|3774|0.14
no|bd_08#inc_2016_2021|65+|child|924|385|0.42
no|bd_08#inc_2016_2021|65+|no_relative|924|174|
no|bd_08#inc_2016_2021|65+|partner|924|365|0.39
no|bd_08#prev_2021|0-24|father|176484|83499|0.47
no|bd_08#prev_2021|0-24|mother|176484|87349|0.49
no|bd_08#prev_2021|0-24|no_relative|176484|5636|
no|bd_08#prev_2021|25-64|child|82932|8286|0.1
no|bd_08#prev_2021|25-64|father|82932|7705|0.09
no|bd_08#prev_2021|25-64|mother|82932|22470|0.27
no|bd_08#prev_2021|25-64|no_relative|82932|1528|
no|bd_08#prev_2021|25-64|partner|82932|27512|0.33
no|bd_08#prev_2021|25-64|sibling|82932|15431|0.17
no|bd_08#prev_2021|65+|child|2222|760|0.34
no|bd_08#prev_2021|65+|no_relative|2222|624|
no|bd_08#prev_2021|65+|partner|2222|838|0.38
no|bd_09#inc_2016_2021|0-24|father|14196|6372|0.45
no|bd_09#inc_2016_2021|0-24|mother|14196|7294|0.51
no|bd_09#inc_2016_2021|0-24|no_relative|14196|530|
no|bd_09#inc_2016_2021|25-64|child|9611|1323|0.14
no|bd_09#inc_2016_2021|25-64|father|9611|784|0.08
no|bd_09#inc_2016_2021|25-64|mother|9611|2480|0.26
no|bd_09#inc_2016_2021|25-64|no_relative|9611|569|
no|bd_09#inc_2016_2021|25-64|partner|9611|2233|0.23
no|bd_09#inc_2016_2021|25-64|sibling|9611|2222|0.21
no|bd_09#inc_2016_2021|65+|child|1099|521|0.47
no|bd_09#inc_2016_2021|65+|no_relative|1099|182|
no|bd_09#inc_2016_2021|65+|partner|1099|396|0.36
no|bd_09#prev_2021|0-24|father|11565|5187|0.45
no|bd_09#prev_2021|0-24|mother|11565|5991|0.52
no|bd_09#prev_2021|0-24|no_relative|11565|387|
no|bd_09#prev_2021|25-64|child|43103|6623|0.15
no|bd_09#prev_2021|25-64|father|43103|3426|0.08
no|bd_09#prev_2021|25-64|mother|43103|10796|0.25
no|bd_09#prev_2021|25-64|no_relative|43103|1604|
no|bd_09#prev_2021|25-64|partner|43103|10220|0.24
no|bd_09#prev_2021|25-64|sibling|43103|10434|0.22
no|bd_09#prev_2021|65+|child|4034|2012|0.5
no|bd_09#prev_2021|65+|no_relative|4034|872|
no|bd_09#prev_2021|65+|partner|4034|1150|0.28
no|bd_10#inc_2016_2021|0-24|father|9372|4481|0.48
no|bd_10#inc_2016_2021|0-24|mother|9372|4686|0.5
no|bd_10#inc_2016_2021|0-24|no_relative|9372|205|
no|bd_10#inc_2016_2021|25-64|child|1372|135|0.1
no|bd_10#inc_2016_2021|25-64|father|1372|101|0.07
no|bd_10#inc_2016_2021|25-64|mother|1372|340|0.25
no|bd_10#inc_2016_2021|25-64|no_relative|1372|60|
no|bd_10#inc_2016_2021|25-64|partner|1372|513|0.37
no|bd_10#inc_2016_2021|25-64|sibling|1372|223|0.15
no|bd_10#inc_2016_2021|65+|child|25||
no|bd_10#inc_2016_2021|65+|no_relative|25||
no|bd_10#inc_2016_2021|65+|partner|25||
no|bd_10#prev_2021|0-24|father|10599|5073|0.48
no|bd_10#prev_2021|0-24|mother|10599|5324|0.5
no|bd_10#prev_2021|0-24|no_relative|10599|202|
no|bd_10#prev_2021|25-64|child|11904|1206|0.1
no|bd_10#prev_2021|25-64|father|11904|736|0.06
no|bd_10#prev_2021|25-64|mother|11904|2323|0.2
no|bd_10#prev_2021|25-64|no_relative|11904|126|
no|bd_10#prev_2021|25-64|partner|11904|5929|0.49
no|bd_10#prev_2021|25-64|sibling|11904|1584|0.12
no|bd_10#prev_2021|65+|child|128|60|0.47
no|bd_10#prev_2021|65+|no_relative|128|31|
no|bd_10#prev_2021|65+|partner|128|37|0.29
no|bd_11#inc_2016_2021|0-24|father|10875|4919|0.45
no|bd_11#inc_2016_2021|0-24|mother|10875|5113|0.47
no|bd_11#inc_2016_2021|0-24|no_relative|10875|843|
no|bd_11#inc_2016_2021|25-64|child|7007|1069|0.15
no|bd_11#inc_2016_2021|25-64|father|7007|230|0.03
no|bd_11#inc_2016_2021|25-64|mother|7007|812|0.12
no|bd_11#inc_2016_2021|25-64|no_relative|7007|423|
no|bd_11#inc_2016_2021|25-64|partner|7007|3407|0.48
no|bd_11#inc_2016_2021|25-64|sibling|7007|1066|0.15
no|bd_11#inc_2016_2021|65+|child|8357|3147|0.38
no|bd_11#inc_2016_2021|65+|no_relative|8357|1097|
no|bd_11#inc_2016_2021|65+|partner|8357|4113|0.49
no|bd_11#prev_2021|0-24|father|28744|13765|0.48
no|bd_11#prev_2021|0-24|mother|28744|14300|0.5
no|bd_11#prev_2021|0-24|no_relative|28744|679|
no|bd_11#prev_2021|25-64|child|34324|3901|0.11
no|bd_11#prev_2021|25-64|father|34324|1885|0.05
no|bd_11#prev_2021|25-64|mother|34324|6038|0.18
no|bd_11#prev_2021|25-64|no_relative|34324|958|
no|bd_11#prev_2021|25-64|partner|34324|15519|0.45
no|bd_11#prev_2021|25-64|sibling|34324|6023|0.17
no|bd_11#prev_2021|65+|child|17254|6104|0.35
no|bd_11#prev_2021|65+|no_relative|17254|2623|
no|bd_11#prev_2021|65+|partner|17254|8527|0.49
no|bd_12#inc_2016_2021|0-24|father|46853|24075|0.51
no|bd_12#inc_2016_2021|0-24|mother|46853|19926|0.43
no|bd_12#inc_2016_2021|0-24|no_relative|46853|2852|
no|bd_12#inc_2016_2021|25-64|child|72494|11011|0.15
no|bd_12#inc_2016_2021|25-64|father|72494|3427|0.05
no|bd_12#inc_2016_2021|25-64|mother|72494|6939|0.1
no|bd_12#inc_2016_2021|25-64|no_relative|72494|2413|
no|bd_12#inc_2016_2021|25-64|partner|72494|42432|0.58
no|bd_12#inc_2016_2021|25-64|sibling|72494|6272|0.09
no|bd_12#inc_2016_2021|65+|child|7395|2678|0.36
no|bd_12#inc_2016_2021|65+|no_relative|7395|745|
no|bd_12#inc_2016_2021|65+|partner|7395|3972|0.54
no|bd_12#prev_2021|0-24|father|53130|27689|0.52
no|bd_12#prev_2021|0-24|mother|53130|22382|0.42
no|bd_12#prev_2021|0-24|no_relative|53130|3059|
no|bd_12#prev_2021|25-64|child|302175|51068|0.17
no|bd_12#prev_2021|25-64|father|302175|12567|0.04
no|bd_12#prev_2021|25-64|mother|302175|26038|0.09
no|bd_12#prev_2021|25-64|no_relative|302175|5355|
no|bd_12#prev_2021|25-64|partner|302175|181066|0.6
no|bd_12#prev_2021|25-64|sibling|302175|26081|0.09
no|bd_12#prev_2021|65+|child|94824|32589|0.34
no|bd_12#prev_2021|65+|no_relative|94824|10477|
no|bd_12#prev_2021|65+|partner|94824|51758|0.54
no|bd_13#inc_2016_2021|0-24|father|2900|1147|0.4
no|bd_13#inc_2016_2021|0-24|mother|2900|1241|0.43
no|bd_13#inc_2016_2021|0-24|no_relative|2900|512|
no|bd_13#inc_2016_2021|25-64|child|3353|458|0.14
no|bd_13#inc_2016_2021|25-64|father|3353|97|0.03
no|bd_13#inc_2016_2021|25-64|mother|3353|357|0.11
no|bd_13#inc_2016_2021|25-64|no_relative|3353|118|
no|bd_13#inc_2016_2021|25-64|partner|3353|1961|0.58
no|bd_13#inc_2016_2021|25-64|sibling|3353|362|0.1
no|bd_13#inc_2016_2021|65+|child|2092|861|0.41
no|bd_13#inc_2016_2021|65+|no_relative|2092|237|
no|bd_13#inc_2016_2021|65+|partner|2092|994|0.47
no|bd_13#prev_2021|0-24|father|8786|4194|0.48
no|bd_13#prev_2021|0-24|mother|8786|4420|0.5
no|bd_13#prev_2021|0-24|no_relative|8786|172|
no|bd_13#prev_2021|25-64|child|9295|1204|0.13
no|bd_13#prev_2021|25-64|father|9295|327|0.04
no|bd_13#prev_2021|25-64|mother|9295|1073|0.12
no|bd_13#prev_2021|25-64|no_relative|9295|148|
no|bd_13#prev_2021|25-64|partner|9295|5604|0.6
no|bd_13#prev_2021|25-64|sibling|9295|939|0.1
no|bd_13#prev_2021|65+|child|3825|1290|0.34
no|bd_13#prev_2021|65+|no_relative|3825|380|
no|bd_13#prev_2021|65+|partner|3825|2155|0.56
no|bd_14#inc_2016_2021|0-24|father|8942|4174|0.47
no|bd_14#inc_2016_2021|0-24|mother|8942|4411|0.49
no|bd_14#inc_2016_2021|0-24|no_relative|8942|357|
no|bd_14#inc_2016_2021|25-64|child|2140|97|0.04
no|bd_14#inc_2016_2021|25-64|father|2140|201|0.09
no|bd_14#inc_2016_2021|25-64|mother|2140|685|0.32
no|bd_14#inc_2016_2021|25-64|no_relative|2140|152|
no|bd_14#inc_2016_2021|25-64|partner|2140|320|0.15
no|bd_14#inc_2016_2021|25-64|sibling|2140|685|0.3
no|bd_14#inc_2016_2021|65+|child|378|35|0.09
no|bd_14#inc_2016_2021|65+|no_relative|378|311|
no|bd_14#inc_2016_2021|65+|partner|378|32|0.08
no|bd_14#prev_2021|0-24|father|23565|11137|0.47
