cost_component|cost_period|additional_relative_req|var_pop|closest_relative_group|agegroup|act_cost|act_py|att_cost|att_py|act_cost_py|att_cost_py
secondary_sector|before_index|no|bd_00#prev_2021|parent|25-64|2709507940.4|166864|95847295.737|166864|16237.822061|574.40368046
secondary_sector|before_index|no|bd_00#prev_2021|partner|25-64|2933923053.5|363949|221099891|363949|8061.3576449|607.50240006
secondary_sector|before_index|no|bd_00#prev_2021|pooled|25-64|8534572314.4|991297.86885|637459429.65|991297.86885|8609.4932538|643.05538192
secondary_sector|before_index|no|bd_00#prev_2021|sibling|25-64|1382288333.9|171841.61202|106635045.76|171841.61202|8043.9674514|620.5426294
secondary_sector|before_index|no|bd_00#prev_2021|child|65+|1726488648.1|246346.06284|61325710.971|246346.06284|7008.3874212|248.94130746
secondary_sector|before_index|no|bd_00#prev_2021|partner|65+|2781462253.9|148281|60661209.32|148281|18758.048934|409.0963058
secondary_sector|before_index|no|bd_00#prev_2021|pooled|65+|4507950902|394627.06284|121986920.29|394627.06284|11423.319195|309.11949984
secondary_sector|before_index|yes|bd_00#prev_2021|father|0-24|775119940.38|125491|61509742.848|125491|6176.6974554|490.15262328
secondary_sector|before_index|yes|bd_00#prev_2021|mother|0-24|749821637.54|96098|112494267.82|96098|7802.6768251|1170.6202815
secondary_sector|before_index|yes|bd_00#prev_2021|child|25-64|1435537349.5|276519.52459|251598680.89|276519.52459|5191.45023|909.87673029
secondary_sector|before_index|yes|bd_00#prev_2021|parent|25-64|2212040226.2|141186|131372613.75|141186|15667.560708|930.49320574
secondary_sector|before_index|yes|bd_00#prev_2021|partner|25-64|2764343015.4|348048|185903826.2|348048|7942.4189061|534.13272364
secondary_sector|before_index|yes|bd_00#prev_2021|pooled|25-64|7341564252|878409.62295|635569033.87|878409.62295|8357.7912402|723.54516306
secondary_sector|before_index|yes|bd_00#prev_2021|sibling|25-64|929643660.95|112656.09836|66693913.028|112656.09836|8252.049152|592.0133397
secondary_sector|before_index|yes|bd_00#prev_2021|child|65+|1638061997.5|234001|76818476.011|234001|7000.2350311|328.2826826
secondary_sector|before_index|yes|bd_00#prev_2021|partner|65+|2644293118.7|140391|59991243.459|140391|18835.203957|427.31545084
secondary_sector|before_index|yes|bd_00#prev_2021|pooled|65+|4282355116.2|374392|136809719.47|374392|11438.158711|365.41838359
secondary_sector|after_index|no|bd_01#inc_2016_2021|father|0-24|34385042.18|2264|4811839.0991|2264|15187.739479|2125.3706268
secondary_sector|after_index|no|bd_01#inc_2016_2021|mother|0-24|42835124.75|2767|4715814.2898|2767|15480.710065|1704.305851
secondary_sector|after_index|no|bd_01#inc_2016_2021|child|25-64|54044551.329|5432.0904334|6908092.0127|5432.0904334|9949.1258461|1271.7188893
secondary_sector|after_index|no|bd_01#inc_2016_2021|parent|25-64|147094788.16|5168|16791487.941|5168|28462.613808|3249.1269235
secondary_sector|after_index|no|bd_01#inc_2016_2021|partner|25-64|221952214.68|13882|52398275.978|13882|15988.489748|3774.5480462
secondary_sector|after_index|no|bd_01#inc_2016_2021|pooled|25-64|491149423.89|28710.090433|79318813.017|28710.090433|17107.205741|2762.7503717
secondary_sector|after_index|no|bd_01#inc_2016_2021|sibling|25-64|68057869.721|4228|3220957.0853|4228|16096.94175|761.81577231
secondary_sector|after_index|no|bd_01#inc_2016_2021|child|65+|58598726.526|5050|2439308.4393|5050|11603.708223|483.03137412
secondary_sector|after_index|no|bd_01#inc_2016_2021|partner|65+|157740512.24|5161|12033606.328|5161|30563.943469|2331.642381
secondary_sector|after_index|no|bd_01#inc_2016_2021|pooled|65+|216339238.77|10211|14472914.767|10211|21186.880694|1417.3846604
secondary_sector|after_index|yes|bd_01#inc_2016_2021|father|0-24|32477305.473|2166|2515298.1415|2166|14994.139184|1161.2641466
secondary_sector|after_index|yes|bd_01#inc_2016_2021|mother|0-24|40882500.018|2661|8446086.1186|2661|15363.585125|3174.0271021
secondary_sector|after_index|yes|bd_01#inc_2016_2021|child|25-64|49097056.036|5023.7042219|2520242.464|5023.7042219|9773.0785626|501.67015268
secondary_sector|after_index|yes|bd_01#inc_2016_2021|parent|25-64|130158079.9|4635|17362713.159|4635|28081.570637|3746.0006816
secondary_sector|after_index|yes|bd_01#inc_2016_2021|partner|25-64|207704619.17|13310|38456658.369|13310|15605.15546|2889.3056626
secondary_sector|after_index|yes|bd_01#inc_2016_2021|pooled|25-64|418584420.28|25095.704222|57517996.377|25095.704222|16679.524773|2291.9458991
